,pheno1
72,6.2334482148671295
182,5.082853974565223
131,9.07682926854778
410,7.956810499023264
193,6.439030593567836
55,14.504682240330812
148,10.10555917859368
18,12.863490387274066
204,8.795962109629723
78,6.371357433647574
494,7.4317637930956275
262,10.889829774874432
323,8.063136338473463
483,9.02706975359382
79,10.824811949600182
39,15.055205081098151
451,8.495858224856914
46,8.848368643126086
238,6.51010023061565
391,9.767889435231051
352,5.982686471618069
341,13.079709373820728
277,6.543438284542413
290,11.807676384293108
317,6.410061633424604
304,9.404888284765423
268,8.485867492085745
69,10.006103716986347
455,9.164383810634147
465,7.341920666637337
154,12.259339278085225
82,15.7448270527097
477,10.339339796054697
172,14.2553059994124
321,9.379783951472168
90,11.167926644006068
180,9.773014697693505
414,11.80221376891004
312,12.234528605473468
278,7.837361011965129
381,6.254968368346039
472,5.558471748531475
362,9.742973807051774
324,8.291315487369424
431,9.759608830960891
347,7.351978024455279
86,13.659462021624986
75,8.014484871520693
438,9.592505115437902
15,10.2611606629339
249,7.680840880022567
433,10.812425451283996
19,8.758041345416064
322,15.620263539587754
332,15.622814078688858
56,14.537474372837377
301,4.213264198541509
229,10.6545131966813
331,5.457795166666838
132,11.396107116914129
137,8.55289408563377
423,8.305598145145005
335,12.38505017752317
25,16.36431787557714
464,3.0317787253812183
281,11.968270857179434
247,4.9549696317555245
237,5.038278460536512
117,8.074054266875912
42,14.508600690386787
220,9.479563879084452
176,13.070993059658194
320,8.757061335247874
153,8.057037180968539
231,7.421354137434357
227,13.376074206088411
417,9.318428458727258
203,7.116873968826058
126,7.856001749280452
329,8.310972023568022
31,9.314924363240838
113,10.817849259202562
470,13.321511258004117
271,7.491281828319099
140,8.944147968512725
57,5.340804837108001
192,9.363702382746704
24,9.918518827511802
17,10.453150699631408
265,5.55459326100281
66,6.683600901707751
208,8.818361633588921
479,8.737320130938961
94,8.008089490567516
253,8.274993152470287
266,9.124337547329288
23,13.495883460379932
222,6.33260446511757
261,7.928311004882769
426,8.129657144075313
5,10.039116899818076
116,6.704276371293119
45,18.140597200356964
16,8.902752209167526
462,16.88088251161164
357,3.244741369824954
3,5.192366453676575
218,10.36961166370372
405,9.955894022074355
60,13.756906904335208
110,9.206758519036162
318,5.816932178613928
428,8.950516185253218
29,9.40637958114448
437,10.831255283625284
471,9.866074189779994
26,11.496943629356926
7,6.303102361766825
453,9.06465907901343
108,11.584086118822068
37,3.951113771068628
157,6.266914770615643
489,11.556985826897447
118,8.82332726162004
114,8.086478324248016
175,12.734298322054688
373,12.187281373481134
181,11.289736853905495
144,9.896071046501811
369,11.620094709060425
390,12.308795257060456
195,12.224085220371832
404,6.9141119414315
275,8.84376402464467
454,12.087743477503988
141,5.425127674832815
365,9.393720289642316
67,10.725908725772952
210,10.087451376053206
168,6.223818498703943
493,5.064760493271771
375,12.335761463397398
400,8.063080128874157
272,5.629654604516625
109,9.572852181667958
248,10.744065275940414
145,10.761628557885052
92,6.711340766911914
152,12.239901443770355
367,10.17000629401658
467,12.396677026104935
83,12.04167702035928
245,13.11513174402188
165,9.569169904735364
163,9.127437640732948
199,8.763776929033966
228,5.034014407821603
74,8.952310326458468
478,3.039973685596042
358,11.339215799421336
250,12.014975605610012
119,6.312080208430268
310,6.0726893598690825
299,11.208409641904757
255,6.570607278720107
354,8.544554615201328
399,5.775836161158313
225,6.679074860536484
353,12.960581884452846
234,7.648007104250379
382,11.868946787524427
274,8.788776091439871
36,9.265504253009466
196,11.34343922597634
139,7.053133218393471
364,5.201179358048742
244,3.5759972947234395
439,10.758410897670045
286,11.872692568079906
59,9.232376681073276
111,11.829067529154411
89,5.418823157335018
436,7.411815595243519
6,13.062288389776338
360,8.2277184370274
346,11.873876944305504
338,4.708216122850853
158,9.812758536783615
150,4.457319784732468
177,10.088774354425942
393,9.312385908336411
184,13.995112754614745
449,16.080442298286748
10,9.92878424988606
380,6.9237221394538455
103,7.56826572187323
81,6.670399460523626
38,6.730063786574793
314,6.488034086389386
167,11.511508422915798
469,8.276033720436061
296,4.158882775409218
474,8.603706139141586
198,7.703039578172307
297,5.942761953012061
416,7.926588664208879
146,8.57071675480232
392,7.1060123656677705
147,3.862333516644761
447,10.320875727113108
287,5.893681043716184
123,5.584083389416098
368,6.70158914145153
96,4.756118248609528
143,6.629699213774073
239,4.441068432691169
442,9.697997513743458
97,7.924324258706592
407,6.57562513901156
122,10.810271943015886
183,7.902767978662853
202,8.701445237839998
246,8.080892542008819
305,7.527880283892645
298,7.774480830992509
351,8.909106788318665
386,7.785280521185421
395,5.418178714068341
284,13.279238009336243
125,8.845249639191525
302,7.351251677809654
223,14.45528297646965
418,9.44924223637858
219,9.526861280752431
129,6.605984103827609
420,9.67147235942809
289,4.881085466203541
444,7.159589681605842
376,10.75903990757887
291,8.271440601852468
355,9.213067820895828
294,4.807038093916426
396,9.282274253077158
340,7.624204208720106
112,7.525263547147872
179,13.369786426529728
307,11.602304424572315
432,8.506108822215486
487,7.941970789065833
481,4.406425440233364
422,8.862931736932286
233,4.453064751712522
311,9.652699844450636
164,8.879002850302374
136,9.68382069747756
197,12.173312879748458
258,6.075739877240542
232,9.197273424887204
115,9.575551574019888
120,7.023605583487773
349,7.048864566314911
224,11.42774918665468
402,8.768702025941867
397,8.437483735636901
127,10.049021755556849
285,10.878106098300863
411,9.482915971361711
107,6.343714839333638
370,5.242375270775327
325,11.344981465421537
133,8.68282848265762
452,10.078974969875569
44,15.353530098507996
460,11.51067235336988
65,8.116520097135826
283,9.773397688690723
85,14.761855037120776
242,3.726407173313281
186,13.456325257320614
383,8.926244627182335
159,9.191111766359878
12,12.918591924672588
35,8.713652978550627
28,8.441337868574255
170,5.828806357675129
142,7.819574079405266
398,8.732853390401953
342,13.325721588482342
221,10.306454653344028
95,8.211072610520816
51,14.164507633624265
240,4.9744742094964085
484,10.370290546675603
378,10.63875829115067
178,11.16793541669174
41,7.890631122604115
498,10.2254318405556
421,7.882778149532537
206,14.381069955813388
282,9.342024403084546
254,7.200580544376343
412,12.671541635488849
4,11.45693119502294
256,5.023693186902544
448,9.014325779582538
100,4.99353440666679
226,3.684879970324239
429,8.393555473004163
213,15.075532999220412
171,6.838340546463063
98,6.7564943263540185
292,5.786569572089094
215,5.2964819649479535
61,10.954768055414291
47,11.235758518305282
32,9.490837491452815
267,8.304994657371655
327,12.339868059092812
200,5.756865089426765
446,6.90043705449339
27,10.875504579182785
424,6.069902533907981
230,5.2297536787655545
260,9.124973685719745
288,6.158182638569492
162,13.64712918010656
425,7.227716557140492
138,8.987850670089134
62,7.961104095076252
135,4.207026828125635
128,7.282277075307707
476,11.388333532836896
8,13.85934308339476
326,5.517988413402849
463,6.303252415138498
64,9.62895069666508
300,8.750098121468941
14,10.48669453973842
156,6.8477984349291
40,13.163728824123073
379,12.035764471810502
468,8.281394743233733
403,7.234244183885389
216,13.150942754334874
279,8.087931364503458
434,8.491954141447515
430,10.096272320710913
337,6.033600668595602
236,4.547326275226983
207,8.133237423624964
212,17.130646213391472
295,7.732488136309353
457,5.058069775446246
251,6.043546425987094
488,10.113370761659494
486,8.731802085790559
303,5.744759892756841
350,7.603492768991959
269,5.901967679048584
201,1.0
161,17.935375508773156
43,13.685388471965968
217,9.848502689426908
401,10.61250303389821
190,9.10944703347608
309,11.248650532177138
259,9.172538346981211
105,9.919540501808818
53,7.874630010891326
389,8.448719684960867
1,12.654742999671992
441,7.204945876433817
482,5.385803528634634
49,14.613540621277942
419,7.3598080230433505
80,12.262902289231498
205,4.3592792674307645
34,6.1885643330937
263,7.133071808221275
427,7.114472797524835
366,8.677013330590494
91,9.48990992755072
339,5.690358765864131
473,6.857443762087138
52,10.6435751235975
345,10.345249616234469
264,7.091403987497422
241,6.8243825531242255
13,12.794566134109656
315,10.969287451923188
88,14.008252366640978
387,10.200718073842928
273,7.452453414437057
166,10.155587314912236
328,4.963335500347275
492,17.73020636970302
134,8.2445485874028
306,8.307419186406479
480,13.280614721733777
319,4.326035161619254
243,9.174384101065254
54,9.964865538616664
363,11.180021050072993
50,8.810078354447636
456,3.772065918550487
174,10.049299085050782
445,8.823137205060304
189,9.361750639803528
496,9.75802757420225
187,11.380792218405292
169,7.589104999097171
58,17.265720098358656
48,5.923565477698986
344,13.03016363347867
235,7.237828056871435
252,12.656725608705964
21,12.005183593896447
313,4.278665697040414
459,7.509383497105205
160,5.887538137309972
276,5.82837599527393
443,10.391516565432855
191,7.4799093869458275
385,7.932563537426979
293,6.246334833101871
413,10.98020729079344
343,11.420599704937716
257,8.215861631056468
308,12.240870072376994
149,8.350589749431407
130,7.673675748937637
151,7.074539245439063
359,11.22188655549538
99,4.34563090979077
372,8.296373688649382
87,10.855389151860791
458,9.967302956430082
330,11.78915861924398
214,8.184856326532191
466,5.4165194185304575
121,4.29134460343515
499,8.81371289804526
20,8.678319557386274
188,8.88760959464131
71,9.291210870334972
106,14.718777844660297
270,8.171603000263133
348,13.858858534527815
435,11.82204769873217
102,6.965490452991779
